StockID,FirstDate
1101,2008-01-02
1102,2008-01-02
1103,2008-01-02
1104,2008-01-02
1108,2008-01-02
1109,2008-01-02
1110,2008-01-02
1201,2008-01-02
1203,2008-01-02
1210,2008-01-02
1213,2008-01-02
1215,2008-01-02
1216,2008-01-02
1217,2008-01-02
1218,2008-01-02
1219,2008-01-02
1220,2008-01-02
1225,2008-01-02
1227,2008-01-02
1229,2008-01-02
1231,2008-01-02
1232,2008-01-02
1233,2008-01-02
1234,2008-01-02
1235,2008-01-02
1236,2008-01-02
1301,2008-01-02
1303,2008-01-02
1304,2008-01-02
1305,2008-01-02
1307,2008-01-02
1308,2008-01-02
1309,2008-01-02
1310,2008-01-02
1312,2008-01-02
1313,2008-01-02
1314,2008-01-02
1315,2008-01-02
1316,2008-01-02
1319,2008-01-02
1321,2008-01-02
1323,2008-01-02
1324,2008-01-02
1325,2008-01-02
1326,2008-01-02
1336,2008-01-02
1402,2008-01-02
1409,2008-01-02
1410,2008-01-02
1413,2008-01-02
1414,2008-01-02
1416,2008-01-02
1417,2008-01-02
1418,2008-01-02
1419,2008-01-02
1423,2008-01-02
1432,2008-01-02
1434,2008-01-02
1435,2008-01-02
1436,2008-01-02
1437,2008-01-02
1438,2008-01-02
1439,2008-01-02
1440,2008-01-02
1441,2008-01-02
1442,2008-01-02
1443,2008-01-02
1444,2008-01-02
1445,2008-01-02
1447,2008-01-02
1449,2008-01-02
1451,2008-01-02
1452,2008-01-02
1453,2008-01-02
1454,2008-01-02
1455,2008-01-02
1456,2008-01-02
1457,2008-01-02
1459,2008-01-02
1460,2008-01-02
1463,2008-01-02
1464,2008-01-02
1465,2008-01-02
1466,2008-01-02
1467,2008-01-02
1468,2008-01-02
1470,2008-01-02
1471,2008-01-02
1472,2008-01-02
1473,2008-01-02
1474,2008-01-02
1475,2008-01-02
1476,2008-01-02
1477,2008-01-02
1503,2008-01-02
1504,2008-01-02
1506,2008-01-02
1512,2008-01-02
1513,2008-01-02
1514,2008-01-02
1515,2008-01-02
1516,2008-01-02
1517,2008-01-02
1519,2008-01-02
1521,2008-01-02
1522,2008-01-02
1525,2008-01-02
1526,2008-01-02
1527,2008-01-02
1528,2008-01-02
1529,2008-01-02
1530,2008-01-02
1531,2008-01-02
1532,2008-01-02
1533,2008-01-02
1535,2008-01-02
1536,2008-01-02
1537,2008-01-02
1538,2008-01-02
1539,2008-01-02
1540,2008-01-02
1541,2008-01-02
1558,2008-01-02
1560,2008-01-02
1565,2008-01-02
1569,2008-01-02
1570,2008-01-02
1580,2008-01-02
1582,2008-01-02
1584,2008-01-02
1603,2008-01-02
1604,2008-01-02
1605,2008-01-02
1608,2008-01-02
1609,2008-01-02
1611,2008-01-02
1612,2008-01-02
1614,2008-01-02
1615,2008-01-02
1616,2008-01-02
1617,2008-01-02
1618,2008-01-02
1701,2008-01-02
1702,2008-01-02
1707,2008-01-02
1708,2008-01-02
1709,2008-01-02
1710,2008-01-02
1711,2008-01-02
1712,2008-01-02
1713,2008-01-02
1714,2008-01-02
1717,2008-01-02
1718,2008-01-02
1720,2008-01-02
1721,2008-01-02
1722,2008-01-02
1723,2008-01-02
1725,2008-01-02
1726,2008-01-02
1727,2008-01-02
1730,2008-01-02
1731,2008-01-02
1732,2008-01-02
1733,2008-01-02
1734,2008-01-02
1735,2008-01-02
1736,2008-01-02
1737,2008-01-02
1742,2008-01-02
1777,2008-01-02
1781,2008-01-02
1784,2008-01-02
1785,2008-01-02
1802,2008-01-02
1805,2008-01-02
1806,2008-01-02
1808,2008-01-02
1809,2008-01-02
1810,2008-01-02
1815,2008-01-02
1903,2008-01-02
1904,2008-01-02
1905,2008-01-02
1906,2008-01-02
1907,2008-01-02
1909,2008-01-02
2002,2008-01-02
2006,2008-01-02
2007,2008-01-02
2008,2008-01-02
2009,2008-01-02
2010,2008-01-02
2012,2008-01-02
2013,2008-01-02
2014,2008-01-02
2015,2008-01-02
2020,2008-01-02
2022,2008-01-02
2023,2008-01-02
2024,2008-01-02
2025,2008-01-02
2027,2008-01-02
2028,2008-01-02
2029,2008-01-02
2030,2008-01-02
2031,2008-01-02
2032,2008-01-02
2033,2008-01-02
2034,2008-01-02
2035,2008-01-02
2059,2008-01-02
2062,2008-01-02
2101,2008-01-02
2102,2008-01-02
2103,2008-01-02
2104,2008-01-02
2105,2008-01-02
2106,2008-01-02
2107,2008-01-02
2108,2008-01-02
2109,2008-01-02
2114,2008-01-02
2201,2008-01-02
2204,2008-01-02
2206,2008-01-02
2207,2008-01-02
2221,2008-01-02
2227,2008-01-02
2301,2008-01-02
2302,2008-01-02
2303,2008-01-02
2305,2008-01-02
2308,2008-01-02
2312,2008-01-02
2313,2008-01-02
2314,2008-01-02
2316,2008-01-02
2317,2008-01-02
2321,2008-01-02
2323,2008-01-02
2324,2008-01-02
2327,2008-01-02
2328,2008-01-02
2329,2008-01-02
2330,2008-01-02
2331,2008-01-02
2337,2008-01-02
2338,2008-01-02
2340,2008-01-02
2342,2008-01-02
2344,2008-01-02
2345,2008-01-02
2347,2008-01-02
2348,2008-01-02
2349,2008-01-02
2351,2008-01-02
2352,2008-01-02
2353,2008-01-02
2354,2008-01-02
2356,2008-01-02
2357,2008-01-02
2358,2008-01-02
2359,2008-01-02
2360,2008-01-02
2362,2008-01-02
2363,2008-01-02
2364,2008-01-02
2365,2008-01-02
2367,2008-01-02
2368,2008-01-02
2371,2008-01-02
2373,2008-01-02
2374,2008-01-02
2375,2008-01-02
2376,2008-01-02
2377,2008-01-02
2379,2008-01-02
2380,2008-01-02
2382,2008-01-02
2383,2008-01-02
2385,2008-01-02
2387,2008-01-02
2388,2008-01-02
2390,2008-01-02
2392,2008-01-02
2393,2008-01-02
2395,2008-01-02
2397,2008-01-02
2399,2008-01-02
2401,2008-01-02
2402,2008-01-02
2404,2008-01-02
2405,2008-01-02
2406,2008-01-02
2408,2008-01-02
2409,2008-01-02
2413,2008-01-02
2414,2008-01-02
2415,2008-01-02
2417,2008-01-02
2419,2008-01-02
2420,2008-01-02
2421,2008-01-02
2423,2008-01-02
2424,2008-01-02
2425,2008-01-02
2426,2008-01-02
2427,2008-01-02
2428,2008-01-02
2429,2008-01-02
2430,2008-01-02
2431,2008-01-02
2432,2008-01-02
2433,2008-01-02
2434,2008-01-02
2436,2008-01-02
2438,2008-01-02
2439,2008-01-02
2440,2008-01-02
2441,2008-01-02
2442,2008-01-02
2443,2008-01-02
2444,2008-01-02
2449,2008-01-02
2450,2008-01-02
2451,2008-01-02
2453,2008-01-02
2454,2008-01-02
2455,2008-01-02
2457,2008-01-02
2458,2008-01-02
2459,2008-01-02
2460,2008-01-02
2461,2008-01-02
2462,2008-01-02
2464,2008-01-02
2465,2008-01-02
2466,2008-01-02
2467,2008-01-02
2468,2008-01-02
2471,2008-01-02
2472,2008-01-02
2474,2008-01-02
2476,2008-01-02
2477,2008-01-02
2478,2008-01-02
2480,2008-01-02
2481,2008-01-02
2482,2008-01-02
2483,2008-01-02
2484,2008-01-02
2485,2008-01-02
2486,2008-01-02
2488,2008-01-02
2489,2008-01-02
2492,2008-01-02
2493,2008-01-02
2495,2008-01-02
2496,2008-01-02
2497,2008-01-02
2498,2008-01-02
2501,2008-01-02
2505,2008-01-02
2506,2008-01-02
2509,2008-01-02
2511,2008-01-02
2514,2008-01-02
2515,2008-01-02
2516,2008-01-02
2520,2008-01-02
2524,2008-01-02
2527,2008-01-02
2528,2008-01-02
2530,2008-01-02
2534,2008-01-02
2535,2008-01-02
2536,2008-01-02
2537,2008-01-02
2538,2008-01-02
2539,2008-01-02
2540,2008-01-02
2542,2008-01-02
2543,2008-01-02
2545,2008-01-02
2546,2008-01-02
2547,2008-01-02
2548,2008-01-02
2601,2008-01-02
2603,2008-01-02
2605,2008-01-02
2606,2008-01-02
2607,2008-01-02
2608,2008-01-02
2609,2008-01-02
2610,2008-01-02
2611,2008-01-02
2612,2008-01-02
2613,2008-01-02
2614,2008-01-02
2615,2008-01-02
2616,2008-01-02
2617,2008-01-02
2618,2008-01-02
2701,2008-01-02
2702,2008-01-02
2704,2008-01-02
2705,2008-01-02
2706,2008-01-02
2707,2008-01-02
2801,2008-01-02
2809,2008-01-02
2812,2008-01-02
2816,2008-01-02
2820,2008-01-02
2832,2008-01-02
2834,2008-01-02
2836,2008-01-02
2838,2008-01-02
2845,2008-01-02
2849,2008-01-02
2850,2008-01-02
2851,2008-01-02
2852,2008-01-02
2855,2008-01-02
2880,2008-01-02
2881,2008-01-02
2882,2008-01-02
2883,2008-01-02
2884,2008-01-02
2885,2008-01-02
2886,2008-01-02
2887,2008-01-02
2888,2008-01-02
2889,2008-01-02
2890,2008-01-02
2891,2008-01-02
2892,2008-01-02
2901,2008-01-02
2903,2008-01-02
2904,2008-01-02
2905,2008-01-02
2906,2008-01-02
2908,2008-01-02
2910,2008-01-02
2911,2008-01-02
2912,2008-01-02
2913,2008-01-02
2915,2008-01-02
2916,2008-01-02
3002,2008-01-02
3003,2008-01-02
3004,2008-01-02
3005,2008-01-02
3006,2008-01-02
3010,2008-01-02
3011,2008-01-02
3013,2008-01-02
3014,2008-01-02
3015,2008-01-02
3016,2008-01-02
3017,2008-01-02
3018,2008-01-02
3019,2008-01-02
3022,2008-01-02
3023,2008-01-02
3024,2008-01-02
3025,2008-01-02
3026,2008-01-02
3027,2008-01-02
3028,2008-01-02
3029,2008-01-02
3030,2008-01-02
3031,2008-01-02
3032,2008-01-02
3033,2008-01-02
3034,2008-01-02
3035,2008-01-02
3036,2008-01-02
3037,2008-01-02
3038,2008-01-02
3040,2008-01-02
3041,2008-01-02
3042,2008-01-02
3043,2008-01-02
3044,2008-01-02
3045,2008-01-02
3046,2008-01-02
3047,2008-01-02
3048,2008-01-02
3049,2008-01-02
3050,2008-01-02
3051,2008-01-02
3052,2008-01-02
3054,2008-01-02
3055,2008-01-02
3056,2008-01-02
3057,2008-01-02
3058,2008-01-02
3059,2008-01-02
3060,2008-01-02
3062,2008-01-02
3064,2008-01-02
3066,2008-01-02
3067,2008-01-02
3073,2008-01-02
3078,2008-01-02
3083,2008-01-02
3085,2008-01-02
3088,2008-01-02
3090,2008-01-02
3093,2008-01-02
3094,2008-01-02
3095,2008-01-02
3114,2008-01-02
3115,2008-01-02
3130,2008-01-02
3162,2008-01-02
3171,2008-01-02
3188,2008-01-02
3189,2008-01-02
3191,2008-01-02
3202,2008-01-02
3205,2008-01-02
3206,2008-01-02
3207,2008-01-02
3209,2008-01-02
3211,2008-01-02
3213,2008-01-02
3217,2008-01-02
3218,2008-01-02
3219,2008-01-02
3224,2008-01-02
3226,2008-01-02
3227,2008-01-02
3228,2008-01-02
3229,2008-01-02
3230,2008-01-02
3231,2008-01-02
3232,2008-01-02
3236,2008-01-02
3252,2008-01-02
3259,2008-01-02
3260,2008-01-02
3264,2008-01-02
3265,2008-01-02
3266,2008-01-02
3268,2008-01-02
3276,2008-01-02
3284,2008-01-02
3288,2008-01-02
3289,2008-01-02
3290,2008-01-02
3293,2008-01-02
3294,2008-01-02
3296,2008-01-02
3297,2008-01-02
3303,2008-01-02
3305,2008-01-02
3306,2008-01-02
3311,2008-01-02
3312,2008-01-02
3313,2008-01-02
3317,2008-01-02
3323,2008-01-02
3324,2008-01-02
3325,2008-01-02
3339,2008-01-02
3354,2008-01-02
3356,2008-01-02
3360,2008-01-02
3362,2008-01-02
3372,2008-01-02
3373,2008-01-02
3376,2008-01-02
3380,2008-01-02
3388,2008-01-02
3390,2008-01-02
3402,2008-01-02
3406,2008-01-02
3416,2008-01-02
3419,2008-01-02
3438,2008-01-02
3450,2008-01-02
3454,2008-01-02
3455,2008-01-02
3466,2008-01-02
3481,2008-01-02
3483,2008-01-02
3484,2008-01-02
3489,2008-01-02
3490,2008-01-02
3494,2008-01-02
3498,2008-01-02
3499,2008-01-02
3501,2008-01-02
3504,2008-01-02
3508,2008-01-02
3512,2008-01-02
3515,2008-01-02
3516,2008-01-02
3518,2008-01-02
3520,2008-01-02
3521,2008-01-02
3522,2008-01-02
3523,2008-01-02
3526,2008-01-02
3527,2008-01-02
3532,2008-01-02
3533,2008-01-02
3540,2008-01-02
3545,2008-01-02
3701,2008-01-02
3702,2008-01-02
4102,2008-01-02
4104,2008-01-02
4105,2008-01-02
4106,2008-01-02
4107,2008-01-02
4108,2008-01-02
4109,2008-01-02
4111,2008-01-02
4113,2008-01-02
4114,2008-01-02
4119,2008-01-02
4120,2008-01-02
4121,2008-01-02
4123,2008-01-02
4126,2008-01-02
4127,2008-01-02
4128,2008-01-02
4129,2008-01-02
4131,2008-01-02
4205,2008-01-02
4207,2008-01-02
4303,2008-01-02
4304,2008-01-02
4305,2008-01-02
4306,2008-01-02
4401,2008-01-02
4402,2008-01-02
4406,2008-01-02
4413,2008-01-02
4414,2008-01-02
4416,2008-01-02
4417,2008-01-02
4419,2008-01-02
4426,2008-01-02
4502,2008-01-02
4503,2008-01-02
4506,2008-01-02
4510,2008-01-02
4513,2008-01-02
4523,2008-01-02
4526,2008-01-02
4528,2008-01-02
4529,2008-01-02
4530,2008-01-02
4532,2008-01-02
4533,2008-01-02
4534,2008-01-02
4535,2008-01-02
4609,2008-01-02
4702,2008-01-02
4706,2008-01-02
4707,2008-01-02
4711,2008-01-02
4712,2008-01-02
4714,2008-01-02
4716,2008-01-02
4720,2008-01-02
4721,2008-01-02
4722,2008-01-02
4903,2008-01-02
4904,2008-01-02
4905,2008-01-02
4906,2008-01-02
4907,2008-01-02
4908,2008-01-02
4909,2008-01-02
5007,2008-01-02
5009,2008-01-02
5011,2008-01-02
5013,2008-01-02
5014,2008-01-02
5015,2008-01-02
5016,2008-01-02
5201,2008-01-02
5202,2008-01-02
5203,2008-01-02
5205,2008-01-02
5206,2008-01-02
5209,2008-01-02
5210,2008-01-02
5211,2008-01-02
5212,2008-01-02
5213,2008-01-02
5301,2008-01-02
5302,2008-01-02
5306,2008-01-02
5309,2008-01-02
5310,2008-01-02
5312,2008-01-02
5314,2008-01-02
5315,2008-01-02
5321,2008-01-02
5328,2008-01-02
5340,2008-01-02
5344,2008-01-02
5345,2008-01-02
5347,2008-01-02
5348,2008-01-02
5351,2008-01-02
5353,2008-01-02
5355,2008-01-02
5356,2008-01-02
5364,2008-01-02
5371,2008-01-02
5381,2008-01-02
5383,2008-01-02
5386,2008-01-02
5388,2008-01-02
5392,2008-01-02
5398,2008-01-02
5403,2008-01-02
5410,2008-01-02
5425,2008-01-02
5426,2008-01-02
5432,2008-01-02
5438,2008-01-02
5439,2008-01-02
5443,2008-01-02
5450,2008-01-02
5452,2008-01-02
5455,2008-01-02
5457,2008-01-02
5460,2008-01-02
5464,2008-01-02
5465,2008-01-02
5468,2008-01-02
5469,2008-01-02
5471,2008-01-02
5474,2008-01-02
5475,2008-01-02
5478,2008-01-02
5481,2008-01-02
5483,2008-01-02
5484,2008-01-02
5487,2008-01-02
5488,2008-01-02
5489,2008-01-02
5490,2008-01-02
5493,2008-01-02
5498,2008-01-02
5508,2008-01-02
5511,2008-01-02
5512,2008-01-02
5514,2008-01-02
5515,2008-01-02
5516,2008-01-02
5519,2008-01-02
5520,2008-01-02
5522,2008-01-02
5523,2008-01-02
5525,2008-01-02
5529,2008-01-02
5530,2008-01-02
5531,2008-01-02
5533,2008-01-02
5534,2008-01-02
5601,2008-01-02
5603,2008-01-02
5604,2008-01-02
5607,2008-01-02
5608,2008-01-02
5609,2008-01-02
5701,2008-01-02
5703,2008-01-02
5704,2008-01-02
5706,2008-01-02
5902,2008-01-02
5903,2008-01-02
5904,2008-01-02
5905,2008-01-02
6005,2008-01-02
6015,2008-01-02
6016,2008-01-02
6020,2008-01-02
6021,2008-01-02
6023,2008-01-02
6101,2008-01-02
6103,2008-01-02
6104,2008-01-02
6108,2008-01-02
6109,2008-01-02
6111,2008-01-02
6112,2008-01-02
6113,2008-01-02
6114,2008-01-02
6115,2008-01-02
6116,2008-01-02
6117,2008-01-02
6118,2008-01-02
6120,2008-01-02
6121,2008-01-02
6122,2008-01-02
6123,2008-01-02
6124,2008-01-02
6125,2008-01-02
6126,2008-01-02
6127,2008-01-02
6128,2008-01-02
6129,2008-01-02
6130,2008-01-02
6133,2008-01-02
6134,2008-01-02
6136,2008-01-02
6138,2008-01-02
6139,2008-01-02
6140,2008-01-02
6141,2008-01-02
6142,2008-01-02
6143,2008-01-02
6144,2008-01-02
6146,2008-01-02
6147,2008-01-02
6148,2008-01-02
6150,2008-01-02
6151,2008-01-02
6152,2008-01-02
6153,2008-01-02
6154,2008-01-02
6155,2008-01-02
6156,2008-01-02
6158,2008-01-02
6160,2008-01-02
6161,2008-01-02
6163,2008-01-02
6164,2008-01-02
6165,2008-01-02
6166,2008-01-02
6167,2008-01-02
6168,2008-01-02
6169,2008-01-02
6170,2008-01-02
6171,2008-01-02
6173,2008-01-02
6174,2008-01-02
6175,2008-01-02
6176,2008-01-02
6177,2008-01-02
6179,2008-01-02
6180,2008-01-02
6182,2008-01-02
6183,2008-01-02
6184,2008-01-02
6185,2008-01-02
6186,2008-01-02
6187,2008-01-02
6188,2008-01-02
6189,2008-01-02
6190,2008-01-02
6191,2008-01-02
6192,2008-01-02
6194,2008-01-02
6195,2008-01-02
6196,2008-01-02
6197,2008-01-02
6198,2008-01-02
6199,2008-01-02
6201,2008-01-02
6202,2008-01-02
6203,2008-01-02
6204,2008-01-02
6205,2008-01-02
6206,2008-01-02
6207,2008-01-02
6208,2008-01-02
6209,2008-01-02
6210,2008-01-02
6212,2008-01-02
6213,2008-01-02
6214,2008-01-02
6215,2008-01-02
6216,2008-01-02
6217,2008-01-02
6218,2008-01-02
6219,2008-01-02
6220,2008-01-02
6221,2008-01-02
6222,2008-01-02
6223,2008-01-02
6224,2008-01-02
6225,2008-01-02
6226,2008-01-02
6227,2008-01-02
6228,2008-01-02
